id,is_observed,obs,dur,dist,is_train
277,t,0.2,0.1,0.0,t
278,t,0.0,0.1,0.0,t
279,f,0,0,0,t
280,t,0.0,0.1,0.0,t
281,t,0.1,0.1,0.0,t
282,t,0.0,0.1,0.0,t
283,f,0,0,0,t
284,f,0,0,0,t
285,f,0,0,0,t
286,t,0.1,0.1,0.0,t
287,f,0,0,0,t
288,t,0.0,0.0,0.0,t
289,t,0.0,0.0,0.0,t
290,t,0.2,0.1,0.0,t
291,f,0,0,0,t
292,f,0,0,0,t
293,t,0.0,0.0,0.0,t
294,t,0.0,0.2,0.0,t
295,t,0.0,0.2,0.0,t
296,f,0,0,0,t
297,f,0,0,0,t
298,t,0.1,0.1,0.0,t
299,t,0.0,0.0,0.0,t
300,f,0,0,0,t
301,f,0,0,0,t
302,t,0.1,0.2,0.0,t
303,t,0.0,0.1,0.0,t
304,f,0,0,0,t
305,t,0.0,0.1,0.0,t
306,t,0.1,0.1,0.0,t
307,t,0.1,0.1,0.0,t
308,t,0.1,0.1,0.0,t
309,t,0.1,0.1,0.0,t
310,t,0.0,0.1,0.0,t
311,t,0.0,0.1,0.0,t
312,f,0,0,0,t
313,t,0.0,0.1,0.0,t
314,t,0.0,0.2,0.0,t
1825,f,0,0,0,t
1826,f,0,0,0,t
1827,t,0.0,0.2,0.0,t
1828,f,0,0,0,t
1829,f,0,0,0,t
1830,f,0,0,0,t
1831,t,0.0,0.1,0.1,t
1832,f,0,0,0,t
1833,f,0,0,0,t
1834,f,0,0,0,t
1835,t,0.0,0.0,0.0,t
1836,f,0,0,0,t
1837,t,0.0,0.0,0.0,t
1838,t,0.0,0.0,0.0,t
1839,f,0,0,0,t
1840,f,0,0,0,t
1841,f,0,0,0,t
1842,f,0,0,0,t
1843,f,0,0,0,t
1844,t,0.0,0.0,0.0,t
1875,f,0,0,0,t
1876,f,0,0,0,t
1877,t,0.0,0.0,0.0,t
1878,f,0,0,0,t
1879,f,0,0,0,t
1880,t,0.0,0.0,0.0,t
1881,f,0,0,0,t
1882,f,0,0,0,t
1883,f,0,0,0,t
1884,t,0.0,0.1,0.0,t
1885,f,0,0,0,t
1886,t,0.0,0.1,0.0,t
1887,f,0,0,0,t
1888,t,0.0,0.1,0.1,t
1889,t,0.0,0.1,0.1,t
1890,f,0,0,0,t
1891,f,0,0,0,t
1892,f,0,0,0,t
1893,f,0,0,0,t
1894,t,0.0,0.1,0.1,t
1895,t,0.0,0.1,0.0,t
1896,f,0,0,0,t
1897,t,0.0,0.1,0.0,t
1898,f,0,0,0,t
1899,t,0.0,0.0,0.1,t
1900,t,0.0,0.1,0.0,t
1901,f,0,0,0,t
1902,f,0,0,0,t
1903,t,0.0,0.0,0.0,t
1904,t,0.0,0.1,0.0,t
1905,f,0,0,0,t
1906,f,0,0,0,t
1907,t,0.0,0.0,0.0,t
1908,f,0,0,0,t
1909,f,0,0,0,t
1910,f,0,0,0,t
1911,f,0,0,0,t
1912,t,0.0,0.0,0.0,t
1913,f,0,0,0,t
1914,f,0,0,0,t
1915,f,0,0,0,t
1916,f,0,0,0,t
1917,t,0.0,0.1,0.0,t
1918,f,0,0,0,t
1919,t,0.0,0.1,0.0,t
1920,f,0,0,0,t
